root_serial_type,root_serial,local_time,result,defects,configs.Bin,configs.Build,configs.Forging_vendor,configs.Material,configs.Project_Code,configs.Raw_material_vendor,fg-bc-le.items.fg_sn,fg-bc-le.items.station_id,fg-bc-le.items.wip_sn
wip_id,F9F23440DCG1Y82A0,2022-09-06 19:30:16,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303PB24GQ4Q,LFDG_KY-7D2F-OQC1_05_FG-BC-LE,F9F23440DCG1Y82A0
wip_id,F9F233105GL1Y82AY,2022-09-06 19:30:17,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PC24GQ4P,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F233105GL1Y82AY
wip_id,F9F23260GWK1Y82AC,2022-09-06 19:30:20,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PD24GQ4N,LFDG_KY-7D2F-OQC1_09_FG-BC-LE,F9F23260GWK1Y82AC
wip_id,F9F234602WF1Y82AQ,2022-09-06 19:30:21,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PE24GQ4M,LFDG_KY-7D2F-OQC1_10_FG-BC-LE,F9F234602WF1Y82AQ
wip_id,F9F2344076F1Y82AR,2022-09-06 19:30:22,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PG24GQ4K,LFDG_KY-7D2F-OQC1_06_FG-BC-LE,F9F2344076F1Y82AR
wip_id,F9F2347069D1Y82AG,2022-09-06 19:30:23,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PF24GQ4L,LFDG_KY-7D2F-OQC1_01_FG-BC-LE,F9F2347069D1Y82AG
wip_id,F9F234401QM1Y82A5,2022-09-06 19:30:26,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303PH24GQ4J,LFDG_KY-7D2F-OQC1_02_FG-BC-LE,F9F234401QM1Y82A5
wip_id,F9F23440K581Y82AP,2022-09-06 19:30:31,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303PJ24GQ4H,LFDG_KY-7D2F-OQC1_03_FG-BC-LE,F9F23440K581Y82AP
wip_id,F9F234405B91Y82AJ,2022-09-06 19:30:36,passed,,BinO,Ramp,Everwin,TI,N199,Baoti,F9W237303PK24GQ4G,LFDG_KY-7D2F-OQC1_05_FG-BC-LE,F9F234405B91Y82AJ
wip_id,F9F23310ENT1Y82AY,2022-09-06 19:30:37,passed,,BinO,Ramp,Everwin,TI,N199,KRS,F9W237303PL24GQ4F,LFDG_KY-7D2F-OQC1_08_FG-BC-LE,F9F23310ENT1Y82AY
